year,value
2010,1983669
2011,1938191
2012,1854842
2013,1774264
2014,1705142
2015,1630972
2016,1552378
2017,1489036
2018,1414386
2019,1335128
2020,1400815
2021,1417913
2022,1323758
2023,1247800
