year,value
2000,234000
2001,232000
2002,229000
2003,227000
2004,224000
2005,221000
2006,218000
2007,215000
2008,210000
2009,206000
2010,202000
2011,198000
2012,195000
2013,191000
2014,187000
2015,184000
2016,180000
2017,177000
2018,173000
2019,169000
2020,165000
2021,161000
2022,172000
