year,value
2010,11500000
2011,11400000
2012,11300000
2013,11100000
2014,11100000
2015,10900000
2016,10700000
2017,10500000
2018,10400000
2019,10300000
2020,10100000
2021,10400000
2022,10700000
2023,10800000
