year,value
2000,792000
2001,801000
2002,809000
2003,816000
2004,821000
2005,824000
2006,827000
2007,830000
2008,831000
2009,832000
2010,834000
2011,836000
2012,839000
2013,841000
2014,842000
2015,843000
2016,843000
2017,843000
2018,843000
2019,842000
2020,817000
2021,928000
2022,1060000
