year,series,value
2010,母子感染,21.5
2011,母子感染,18.6
2012,母子感染,16.2
2013,母子感染,14.9
2014,母子感染,13.7
2015,母子感染,13.1
2016,母子感染,12.8
2017,母子感染,12.2
2018,母子感染,11.5
2019,母子感染,11.0
2020,母子感染,10.8
2021,母子感染,10.5
2022,母子感染,10.2
2023,母子感染,9.3
