year,series,value
2019,国内予算,0.2847
2020,国内予算,0
2021,国内予算,0.7263
2022,国内予算,0
2023,国内予算,0.2409
2019,国際予算,14.7001
2020,国際予算,11.7323
2021,国際予算,7.8969
2022,国際予算,9.7414
2023,国際予算,11.9988
